parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,target
14297519,,,,3.5,4,,,3.5,,,3100,3100,,,,,6059,,3,2,633,,,33634931,-117869207,4506,,,,,,122,261,,60590630.07,53571,1286,,96978,0,,1,,,,,1998,,,485713,1023282,2016,537569,11013.72,,,60590630072012,0.02559490176
17052889,,,,1,2,,,1,,1465,1465,1465,,,1465,,6111,1,1,1,0,,,34449266,-119281531,12647,,,,,,1110,261,,61110010.02,13091,2061,,97099,5,,,,,,,1967,1,,88000,464000,2016,376000,5672.48,,,61110010023006,0.0556190874
14186244,,,,2,3,,,2,,,1243,1243,,,,,6059,,2,2,440,,,33886168,-117823170,8432,1,,,,1,122,261,,60590218.02,21412,1286,,97078,6,,,,,,,1962,1,,85289,564778,2016,479489,6488.3,,,60590218022012,0.005382853047
12177905,,,,3,4,,8,3,,,2376,2376,,,,,6037,,3,,,,2,34245180,-118240722,13038,1,,,,1,101,261,LCR110000*,60373001,396551,3101,,96330,0,,,,1,,,1970,,,108918,145143,2016,36225,1777.51,,,60373001001006,-0.1034096663
10887214,1,,,3,3,,8,3,,,1312,1312,,,,,6037,,3,,,,2,34185120,-118414640,278581,1,,,,1,010C,266,LAR3,60371236.01,12447,3101,268548,96451,0,,,,1,,,1964,,,73681,119407,2016,45726,1533.89,,,60371236012000,0.006940359208
17143294,,,,2,3,,,2,,842,1492,1492,,,842,,6111,1,2,2,0,,,34230044,-118993991,903,,,,,,1129,266,,61110053.06,51239,2061,,97091,6,,,,,,,1982,2,,198640,331064,2016,132424,3508.1,,,61110053062009,-0.02052626903
12095076,1,,,3,4,,9,3,,,2962,2962,,,,,6037,,3,,,,2,34145202,-118179824,63000,1,,,,1,101,261,PSR2,60374608,47019,3101,274684,96293,0,,,,1,,,1950,,,276684,773303,2016,496619,9516.26,,,60374608001014,-0.00101096186
12069064,,,,1,2,,5,1,,,738,738,,,,,6037,,1,,,,,34149214,-118239357,4214,,,,,,100,261,GLR4YY,60373020.04,45457,3101,276258,96325,0,,,,1,,,1922,,,18890,218552,2016,199662,2366.08,,,60373020041001,0.1017233483
12790562,,,,3,4,,9,3,,,3039,3039,,,,,6037,,3,,,,2,33960230,-118006914,20028,,,,,,100,261,WHRE20000*,60375002.02,14634,3101,,96173,0,,,,1,,,1970,,,177527,220583,2016,43056,3104.19,,,60375002024006,-0.04096563607
11542646,,,,3,2,,8,3,,,1290,1290,,,,,6037,,3,,,,2,33998800,-118416000,54048,1,,,,1,010C,266,LAR3,60372751.02,12447,3101,403184,96047,0,,,,1,,,1980,,,151303,371361,2016,220058,4557.32,,,60372751022006,-0.03676334098
11104527,1,,,3,4,,8,3,,,2540,2540,,,,,6037,,3,,,,2,34434971,-118464390,10384,1,,,,1,101,261,SCUR2,60379200.34,54311,3101,37739,96374,0,,,,1,,,1999,,,271715,430108,2016,158393,6103.36,,,60379200341014,0.005963168742
13984101,,,,0,0,,,,,,2482,,,,,2482,6059,,,,,,,33454921,-117660142,5431,,,,,,38,246,,60590422.02,,1286,,96956,0,,,,2,,,1973,2,,161671,471590,2016,309919,6151.38,,,60590422015010,-0.1479967487
14705431,,,,2.5,3,,,2.5,,,1337,1337,,,,,6059,,2,1,0,,,33663700,-117997000,9999,,,,,,34,266,,60590993.06,25218,1286,,96966,0,,1,,,,,1989,,,118037,582011,2016,463974,6675.04,,,60590993064001,-0.02883516632
13944538,13,,,2.5,3,,,2.5,,,1340,1340,,,,,6059,1,2,2,420,,,33771438,-117982834,1199,,,,,,122,261,,60590888.01,24832,1286,,97051,6,,1,,,,,1980,2,,96617,319668,2016,223051,4078.08,,,60590888014006,0.0456017003
14731691,,,,2,2,,,2,,,970,970,,,,,6059,,2,1,0,,,33715600,-117926000,,,,,,,34,266,,60590992.29,8384,1286,,97008,0,,,,,,,1989,,,117063,132425,2016,15362,1771.34,,,60590992293006,-0.008934776986
